,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9
"1-1",0,-0.15255789287863236,-0.090487620669789409,-0.16837218977703036,-0.068568237472987653,-0.15255789287863236,-0.09048762066978927,-0.16845123730667991,-0.068454485829584882
"2-1",1,-0.16691195986942461,-0.086344794491888477,-0.19147129015423747,-0.056002594233397374,-0.086500937807784339,-0.0386501002044378,-0.11598969407467792,-0.011179051087855735
"3-1",2,-0.13946033571491456,-0.055347979612762617,-0.16939096103046047,-0.021576627538082149,-0.068947464022969723,-0.02019542106131492,-0.094389983935946983,0
"4-1",3,-0.10457533120715545,-0.022001094342812687,-0.13585085230404884,0,-0.04858881226347684,-0.0017714403003275261,-0.076009097265675632,0
"5-1",4,-0.073349090097807587,0.0052042544484178299,-0.10419296914574575,0.036504618522606232,-0.036155849327397759,0.0091693100634457868,-0.062915963398167962,0.036137712081617181
"6-1",5,-0.04775226939085013,0.025029606202363747,-0.078012811865943416,0.05493926651521279,-0.025677954806783952,0.017068535927938399,-0.05228067085698767,0.042534854045913062
"7-1",6,-0.027590406543195781,0.038141103432219749,-0.057502352343001245,0.067317112064433304,-0.018697361377385577,0.021305559684456129,-0.046225022045883968,0.048042364220511086
"8-1",7,-0.012285754735572675,0.045560046068588038,-0.042026807268756607,0.074435628765637044,-0.0143934195181164,0.022882543403549324,-0.041862579008433237,0.048813137019435848
"9-1",8,-0.0011607424536384215,0.0483850003365313,-0.03089811071767767,0.077232526920697875,-0.012077444616249856,0.022483265343099933,-0.040581818115733068,0.049637936181873926
"10-1",9,0.0064731548890916866,0.047687964329232412,-0.023305572869070826,0.076554045472284504,-0.01113642248138213,0.020850279258628829,-0.039238899918127165,0.047106165213647959
"11-1",10,0.011268700876976749,0.044449641250992059,-0.018440426959125657,0.07318631257314849,-0.011056477817104771,0.018514365975470175,-0.039273452535770408,0.044818377074281476
"12-1",11,0.013823573850634289,0.039527601854272468,-0.015586711405076998,0.067875752744615797,-0.011466458527283306,0.015942185495118659,-0.038478060713566964,0.040453682779288694
"13-1",12,0.014671605733580853,0.033643276169364557,-0.014161344976825935,0.061324094003273037,-0.012051197609907877,0.013418124098478475,-0.038215681589858122,0.036835428140992929
"14-1",13,0.014278044342673622,0.027379695160507991,-0.013699958852359972,0.054154639658244214,-0.012667608790623099,0.011205491755230248,-0.037120344940755834,0.032431063326746778
"15-1",14,0.013030377929046299,0.021172407124026137,-0.013850193122451259,0.046868822004904616,-0.013011393613913225,0.0091926370771575911,-0.036244550725540878,0.02901162144074735
"16-1",15,0.011265004892535246,0.015373257767496058,-0.014348430970027366,0.039904798919425374,-0.013170372804578081,0.0075840817713695918,-0.034861588073609062,0.025644757781961257
"17-1",16,0.0092501413024264102,0.010208728809678765,-0.01498272250038803,0.033539362231649071,-0.013119122560522438,0.006349994709499188,-0.03353847490141474,0.023143915754370799
"18-1",17,0.0057836284852105721,0.0071709487524175067,-0.014976026901619494,0.028565294455085353,-0.012869188852883429,0.0054370834260383544,-0.0321515755328977,0.021045696004519096
"19-1",18,0.0021581125652573624,0.0051772919177114742,-0.015750968154367981,0.023463295684467821,-0.012449131620536694,0.0047854912770954345,-0.030896681209331076,0.01953956756365012
"20-1",19,-0.00067319878618872346,0.0033675289840500978,-0.016283929911003782,0.019156014245235858,-0.011897889576456818,0.0043356816268390556,-0.029683848129128297,0.018323681633189582
"21-1",20,-0.0027537514671261681,0.0018072374662054978,-0.016538579525832597,0.015629873021476885,-0.011258452607688761,0.0040367412510345421,-0.028629997832023885,0.017439239164596408