,YGAP_BOJ,SR,LR1Y,LR2Y,LR3Y,LR5Y,LR7Y,LR9Y,LR10Y,EBP,INFL,PGR,IOR
1960-1,#N/A,8.586308889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1960-2,#N/A,8.586308889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1960-3,#N/A,8.586308889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1960-4,#N/A,8.586308889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1961-1,#N/A,8.279642222,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1961-2,#N/A,8.216308889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1961-3,#N/A,8.526308889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1961-4,#N/A,8.886308889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1962-1,#N/A,8.946308889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1962-2,#N/A,8.946308889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1962-3,#N/A,8.946308889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1962-4,#N/A,9.256308889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1963-1,#N/A,8.339642222,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1963-2,#N/A,7.366308889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1963-3,#N/A,7.486308889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1963-4,#N/A,7.729642222,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1964-1,#N/A,8.399642222,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1964-2,#N/A,9.922975556,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1964-3,#N/A,11.38297556,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1964-4,#N/A,11.13630889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1965-1,#N/A,8.586308889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1965-2,#N/A,7.366308889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1965-3,#N/A,6.636308889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1965-4,#N/A,6.026308889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1966-1,#N/A,6.026308889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1966-2,#N/A,6.026308889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1966-3,#N/A,6.026308889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1966-4,#N/A,6.026308889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1967-1,#N/A,6.149642222,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1967-2,#N/A,6.149642222,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1967-3,#N/A,6.759642222,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1967-4,#N/A,7.246308889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1968-1,#N/A,7.976308889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1968-2,#N/A,8.216308889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1968-3,#N/A,8.339642222,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1968-4,#N/A,7.732975556,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1969-1,#N/A,7.609642222,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1969-2,#N/A,7.246308889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1969-3,#N/A,8.169642222,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1969-4,#N/A,8.519642222,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1970-1,#N/A,8.602975556,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0
1970-2,#N/A,8.436308889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.695242512,#N/A,0
1970-3,#N/A,8.686308889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.697901929,#N/A,0
1970-4,#N/A,8.156308889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.267734717,#N/A,0
1971-1,#N/A,7.482975556,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.398922947,#N/A,0
1971-2,#N/A,6.782975556,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.654031889,#N/A,0
1971-3,#N/A,6.422975556,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.759574732,#N/A,0
1971-4,#N/A,5.712975556,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.004462188,#N/A,0
1972-1,#N/A,5.309642222,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.988344456,#N/A,0
1972-2,#N/A,5.002975556,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.193657702,#N/A,0
1972-3,#N/A,4.650975556,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.755511892,#N/A,0
1972-4,#N/A,4.672975556,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.747530478,#N/A,0
1973-1,#N/A,5.375308889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.037977243,2.440954908,#N/A,0
1973-2,#N/A,6.315642222,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.055989162,3.874513979,#N/A,0
1973-3,#N/A,8.067975556,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.272473852,3.573070215,#N/A,0
1973-4,#N/A,9.629308889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.095003535,4.631628602,#N/A,0
1974-1,#N/A,12.26297556,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.032098055,8.253421196,#N/A,0
1974-2,#N/A,12.35964222,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.27449008,4.17398027,#N/A,0
1974-3,#N/A,13.22330889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.956244477,4.101368891,#N/A,0
1974-4,#N/A,13.05564222,10.65166667,9.471333333,8.878666667,8.38,8.247,8.231666667,#N/A,1.055219517,4.986223337,#N/A,0
1975-1,#N/A,13.05097556,10.626,9.604,8.973,8.419666667,8.26,8.255,#N/A,0.457565967,1.756460504,#N/A,0
1975-2,#N/A,11.45297556,9.883666667,9.600666667,9.044666667,8.440333333,8.270333333,8.278,#N/A,0.251310767,2.065785099,#N/A,0
1975-3,#N/A,10.63930889,9.776,9.551,9.093,8.481666667,8.288666667,8.324333333,#N/A,0.240816233,2.016572002,#N/A,0
1975-4,#N/A,8.287308889,9.572333333,9.493333333,9.141,8.591,8.354333333,8.389666667,#N/A,0.058670927,1.784293628,#N/A,0
1976-1,#N/A,7.280642222,8.702333333,8.732666667,8.693333333,8.593666667,8.407,8.468666667,#N/A,-0.122067692,2.27713221,#N/A,0
1976-2,#N/A,6.987642222,8.571,8.633,8.594333333,8.617666667,8.528333333,8.496,#N/A,-0.082041799,2.403525293,#N/A,0
1976-3,#N/A,7.314642222,8.423666667,8.607333333,8.731,8.759,8.674666667,8.500666667,#N/A,-0.147862768,2.263886708,#N/A,0
1976-4,#N/A,7.070308889,8.328333333,8.542666667,8.780666667,8.978,8.811666667,8.476,#N/A,-0.167980639,2.276692773,#N/A,0
1977-1,#N/A,7.083642222,7.838333333,8.254,8.565333333,8.727,8.705,8.491333333,#N/A,-0.237858141,1.941359508,#N/A,0
1977-2,#N/A,5.695642222,7.131666667,7.401666667,7.614,7.793333333,7.843666667,7.800333333,#N/A,-0.26358641,1.911277453,#N/A,0
1977-3,#N/A,5.648975556,6.529333333,6.663666667,6.779333333,6.853666667,7.075333333,7.126666667,#N/A,-0.170104005,1.460991656,#N/A,0
1977-4,#N/A,5.035975556,6.303333333,6.518,6.679,6.661,6.884333333,6.85,#N/A,-0.201924486,1.227267108,#N/A,0
1978-1,#N/A,4.923642222,5.600666667,5.775,5.905333333,6.017666667,6.625,6.616,#N/A,-0.337720996,0.979270084,#N/A,0
1978-2,#N/A,4.288642222,5.239,5.4985,5.709,5.895333333,6.398666667,6.362666667,#N/A,-0.334791359,0.880269334,#N/A,0
1978-3,#N/A,4.548308889,#DIV/0!,#DIV/0!,5.9545,5.877333333,6.519,6.512333333,#N/A,-0.355055512,0.913267967,#N/A,0
1978-4,#N/A,4.412642222,#DIV/0!,#DIV/0!,5.676666667,5.932,6.473,6.464666667,#N/A,-0.370322704,0.574602175,#N/A,0
1979-1,#N/A,4.611308889,#DIV/0!,#DIV/0!,5.864333333,6.341333333,6.622333333,6.800666667,#N/A,-0.245434561,0.707843738,#N/A,0
1979-2,#N/A,5.301042222,#DIV/0!,#DIV/0!,7.227,7.572,7.766,7.924666667,#N/A,-0.216653397,1.009034847,#N/A,0
1979-3,#N/A,6.618942222,#DIV/0!,7.7085,7.539333333,7.657333333,7.688,8.038,#N/A,-0.235472436,1.354609728,#N/A,0
1979-4,#N/A,7.642708889,#DIV/0!,8.316333333,8.211,8.070333333,8.135333333,8.519333333,#N/A,-0.217952187,1.435118237,#N/A,0
1980-1,#N/A,9.361875556,#DIV/0!,9.285333333,9.124666667,8.548666667,8.793666667,8.847333333,#N/A,-0.040792528,1.964559545,#N/A,0
1980-2,#N/A,12.65797556,#DIV/0!,10.004,9.832,8.916,9.139333333,8.978666667,#N/A,-0.206705475,3.154962824,3.8,0
1980-3,#N/A,12.25014222,9.5955,9.250333333,9.18,8.435,8.666,8.489333333,#N/A,-0.001398422,1.442574221,3.8,0
1980-4,#N/A,10.19447556,9.675333333,9.533,9.286,8.642333333,9.114333333,8.659,#N/A,0.103554814,1.11521787,3.8,0
1981-1,#N/A,8.701608889,8.722333333,8.667666667,8.586666667,8.300333333,8.890333333,8.374333333,#N/A,0.164475478,1.004555853,3.8,0
1981-2,#N/A,7.306342222,8.251,8.37,8.271,8.073333333,9.035666667,8.114666667,#N/A,0.440887997,0.831101445,3.8,0
1981-3,#N/A,7.437208889,8.305666667,8.513,8.481,8.351666667,9.372666667,8.457333333,#N/A,0.374625292,1.08347469,3.8,0
1981-4,#N/A,7.036575556,7.798333333,8.031,8.041333333,8.121666667,8.703,8.373,#N/A,0.485241781,0.976436869,3.8,0
1982-1,#N/A,6.795542222,7.189,7.358666667,7.434,7.831,8.129,7.889,#N/A,0.745316847,0.591900828,3.8,0
1982-2,#N/A,7.358542222,7.370666667,7.457666667,7.512666667,7.877,8.132666667,7.905,#N/A,0.777350296,0.487947791,3.8,0
1982-3,#N/A,7.304608889,7.807,8.024,8.089,8.491333333,8.516,8.244666667,#N/A,0.381440844,0.834893511,3.8,0
1982-4,#N/A,7.027542222,7.566666667,7.754333333,7.842,8.284333333,8.289,8.158666667,#N/A,0.473835111,0.744733505,3.8,0
1983-1,-2.325854011,6.821975556,6.973,7.012666667,7.220333333,7.776,7.654333333,7.850333333,#N/A,0.242917001,0.172019568,3.9,0
1983-2,-1.99256375,6.377242222,6.787333333,6.890666667,7.084333333,7.797,7.371333333,7.801,#N/A,-0.013494471,0.228718864,3.9,0
1983-3,-1.745048985,6.645075556,6.724666667,6.911333333,7.087666667,7.812333333,7.325666667,7.861,#N/A,-0.163161087,0.360228539,4,0
1983-4,-1.078203605,6.469975556,6.537333333,6.609333333,6.846,7.368,7.187,7.567,#N/A,-0.021072046,0.812758266,4,0
1984-1,-0.56090223,6.368075556,6.198666667,6.341666667,6.734666667,7.066,7.132,7.390333333,#N/A,-0.055422231,0.464133918,4.1,0
1984-2,-0.527918912,6.030608889,6.536666667,6.558,6.81,7.083333333,7.011333333,7.411333333,#N/A,-0.144455529,0.526362037,4.1,0
1984-3,-0.408806998,6.339075556,6.546333333,6.555333333,6.965666667,7.099666667,7.105333333,7.351333333,#N/A,-0.028107364,0.464240918,4.2,0
1984-4,0.070926332,6.407408889,6.270666667,6.196333333,6.491,6.572,6.723,6.899,#N/A,-0.130585654,0.876165713,4.3,0
1985-1,0.011749994,6.435042222,6.256333333,6.282333333,6.602333333,6.542666667,6.920333333,6.926,#N/A,-0.084848412,0.452426076,4.3,0
1985-2,-0.249148228,6.254875556,6.456,6.431333333,6.555666667,6.425666667,6.710666667,6.793,#N/A,-0.108422511,0.297593139,4.4,0
1985-3,-0.540208349,6.387166667,6.141666667,6.180333333,6.248333333,6.179666667,6.230333333,6.387333333,#N/A,0.07350443,0.387101833,4.4,0
1985-4,-0.703002414,7.440333333,6.525,6.537,6.584,6.301666667,6.361666667,6.360666667,#N/A,0.141381152,0.229576108,4.5,0
1986-1,-0.69400351,6.275433333,5.391333333,5.59,5.569,5.538666667,5.697,5.672,#N/A,0.199530326,0.513767029,4.5,0
1986-2,-1.411059383,4.6293,4.811,4.886333333,4.86,5.2,5.386,5.036,#N/A,0.183531203,-0.026112932,4.6,0
1986-3,-1.511389902,4.688466667,4.747333333,4.823333333,4.786666667,5.098666667,5.245666667,5.360333333,5.257666667,0.575915051,-0.180204592,4.6,0
1986-4,-1.528951471,4.2521,4.619333333,4.684,4.588,4.775333333,5.021,5.371333333,5.565333333,0.60753402,0.010019258,4.7,0
1987-1,-1.661184103,4.1998,4.034,3.929333333,3.933666667,4.156333333,4.419333333,4.819333333,5.025666667,0.52549712,0.109317536,4.7,0
1987-2,-1.697272085,3.439166667,3.488333333,3.342,3.426,3.583666667,3.607,3.928333333,4.025,0.005542217,0.073361299,4.8,0
1987-3,-0.784757521,3.374766667,4.078,4.075333333,4.138666667,4.513,5.071333333,5.296,5.480333333,0.257142694,0.305242839,4.8,0
1987-4,0.409462319,3.661433333,4.181666667,4.276,4.396666667,4.800333333,5.077,5.336666667,5.473666667,-0.17551672,0.081300564,4.8,0
1988-1,1.169722091,3.686,3.616333333,3.69,3.835666667,4.135,4.331333333,4.790333333,4.585333333,-0.04148357,0.083676355,4.8,0
1988-2,1.200030896,3.517566667,3.545666667,3.686333333,3.798666667,4.015666667,4.164333333,4.667333333,4.996,0.062833162,-0.14302289,4.7,0
1988-3,1.401904086,3.9766,4.298333333,4.338,4.416333333,4.489,4.522666667,5.274,5.466666667,0.077099924,0.28184291,4.7,0
1988-4,1.719448558,4.158966667,3.956333333,3.997,4.064333333,4.066666667,4.142,4.740666667,4.784333333,0.379121551,0.369967229,4.6,0
1989-1,2.400817949,4.175763333,4.155666667,4.257,4.301333333,4.377,4.445333333,4.830333333,4.999,0.4208029,0.417624684,4.5,0
1989-2,2.471463197,4.744363333,4.841333333,4.924,4.916333333,4.907666667,4.849333333,5.100333333,5.115,0.594250421,1.621046322,4.4,0
1989-3,2.600967195,5.34546,5.123,5.085333333,5.155666667,5.072,4.919666667,5.017333333,5.053666667,0.781022996,0.486731306,4.3,0
1989-4,3.188198366,6.202803333,5.931333333,5.763666667,5.793666667,5.643,5.304,5.384333333,5.444666667,0.621766826,0.428674341,4.2,0
1990-1,3.767227002,6.680213333,6.826333333,6.822333333,6.689333333,6.599333333,6.689333333,6.592333333,6.391666667,0.399749771,0.648475289,4,0
1990-2,3.860351615,7.262003333,6.958333333,6.915,6.772333333,6.751,6.845666667,6.809,6.554,0.146285619,0.504860497,3.8,0
1990-3,4.237683546,7.610263333,7.801666667,7.662,7.592333333,7.547333333,7.558666667,7.377333333,7.362666667,-0.045522946,0.749494555,3.6,0
1990-4,4.713867651,8.03911,7.643,7.405,7.378666667,7.278,7.303333333,7.008666667,7.142666667,0.30768326,1.109396195,3.5,0
1991-1,4.621547523,8.150826667,7.044,6.856,6.743,6.627333333,6.674666667,6.476,6.494666667,0.342616718,0.748640592,3.3,0
1991-2,4.413348499,8.102333333,7.133,6.888,6.811,6.809,6.842666667,6.687333333,6.645333333,0.173655476,0.358738727,3,0
1991-3,4.129370713,7.33144,6.536666667,6.482333333,6.464666667,6.561,6.566333333,6.451333333,6.43,0.18259228,0.673023286,2.8,0
1991-4,3.642088263,6.51676,5.45,5.524333333,5.619,5.882,5.981333333,5.931666667,5.925333333,0.191408443,0.540929537,2.7,0
1992-1,3.279504385,5.62072,4.659,4.693333333,4.932333333,5.391333333,5.58,5.590666667,5.549,0.075956007,0.593798353,2.5,0
1992-2,2.145720891,4.75476,4.438666667,4.578333333,4.757333333,5.239333333,5.663,5.697,5.669666667,0.016308631,0.735268501,2.3,0
1992-3,1.354668321,4.292286667,3.647333333,3.836,4.053,4.565666667,4.969666667,5.204,5.214,0.067001963,0.34082631,2.1,0
1992-4,0.524621362,3.97149,3.397,3.542,3.707,4.256666667,4.647333333,4.873666667,4.963666667,0.107037306,0.389629596,2,0
1993-1,-0.289363819,3.472613333,3.095333333,3.280333333,3.412666667,3.896333333,4.260333333,4.376,4.552,0.045791801,0.235828296,1.9,0
