,YGAP_BOJ,YGAP_CO,YGR,SR,LR9Y,LR10Y,INFLALL,INFL,INFLCC,PGR,DI,dumm2002,dumm2006,dumm2009,DSR,IOR,INFLANN
"1960-1",#N/A,#N/A,5.0788473720000002,8.5863088889999997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,#N/A,0,#N/A
"1960-2",#N/A,#N/A,-0.62905638900000005,8.5863088889999997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,#N/A
"1960-3",#N/A,#N/A,5.0586920429999997,8.5863088889999997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,#N/A
"1960-4",#N/A,#N/A,4.9582135220000003,8.5863088889999997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,#N/A
"1961-1",#N/A,#N/A,1.177435284,8.2796422219999997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,-0.306666667,0,#N/A
"1961-2",#N/A,#N/A,1.314597105,8.2163088890000004,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,-0.063333333000000006,0,#N/A
"1961-3",#N/A,#N/A,3.530783971,8.5263088889999992,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0.31,0,#N/A
"1961-4",#N/A,#N/A,5.7107407700000001,8.8863088890000004,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0.35999999999999999,0,#N/A
"1962-1",#N/A,#N/A,-0.51540923699999996,8.9463088890000009,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0.059999999999999998,0,#N/A
"1962-2",#N/A,#N/A,0.60278785099999999,8.9463088890000009,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,#N/A
"1962-3",#N/A,#N/A,2.8319758020000001,8.9463088890000009,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,#N/A
"1962-4",#N/A,#N/A,3.1800332359999999,9.2563088889999996,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0.31,0,#N/A
"1963-1",#N/A,#N/A,-0.50005221499999997,8.3396422220000002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,-0.91666666699999999,0,#N/A
"1963-2",#N/A,#N/A,2.1396234710000002,7.3663088889999999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,-0.97333333300000002,0,#N/A
"1963-3",#N/A,#N/A,4.5745641949999998,7.486308889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0.12,0,#N/A
"1963-4",#N/A,#N/A,4.5547457439999999,7.7296422219999998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0.24333333300000001,0,#N/A
"1964-1",#N/A,#N/A,1.275479263,8.3996422220000007,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0.67000000000000004,0,#N/A
"1964-2",#N/A,#N/A,1.619731517,9.9229755560000008,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,1.5233333339999999,0,#N/A
"1964-3",#N/A,#N/A,3.1663329500000001,11.38297556,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,1.4600000040000001,0,#N/A
"1964-4",#N/A,#N/A,2.335056625,11.13630889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,-0.24666667,0,#N/A
"1965-1",#N/A,#N/A,-1.0582915310000001,8.5863088889999997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,-2.5500000009999999,0,#N/A
"1965-2",#N/A,#N/A,0.46532223499999997,7.3663088889999999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,-1.22,0,#N/A
"1965-3",#N/A,#N/A,3.9008197920000001,6.6363088890000004,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,-0.72999999999999998,0,#N/A
"1965-4",#N/A,#N/A,2.6415009860000001,6.0263088890000001,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,-0.60999999999999999,0,#N/A
"1966-1",#N/A,#N/A,0.76924725100000002,6.0263088890000001,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,#N/A
"1966-2",#N/A,#N/A,3.1088903779999999,6.0263088890000001,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,#N/A
"1966-3",#N/A,#N/A,4.0688914399999998,6.0263088890000001,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,#N/A
"1966-4",#N/A,#N/A,3.0915357860000001,6.0263088890000001,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,#N/A
"1967-1",#N/A,#N/A,0.74238256199999997,6.1496422219999998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0.123333333,0,#N/A
"1967-2",#N/A,#N/A,1.8964365249999999,6.1496422219999998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,#N/A
"1967-3",#N/A,#N/A,5.1211523559999996,6.7596422220000001,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0.60999999999999999,0,#N/A
"1967-4",#N/A,#N/A,3.0268562530000001,7.2463088889999998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0.486666667,0,#N/A
"1968-1",#N/A,#N/A,0.48211439499999997,7.9763088890000002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0.72999999999999998,0,#N/A
"1968-2",#N/A,#N/A,2.6129791060000001,8.2163088890000004,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0.23999999999999999,0,#N/A
"1968-3",#N/A,#N/A,3.8980530610000002,8.3396422220000002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0.123333333,0,#N/A
"1968-4",#N/A,#N/A,6.8320066270000002,7.7329755560000004,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,-0.60666666599999997,0,#N/A
"1969-1",#N/A,#N/A,-0.99664574800000005,7.6096422219999997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,-0.123333334,0,#N/A
"1969-2",#N/A,#N/A,2.1164487360000002,7.2463088889999998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,-0.36333333299999998,0,#N/A
"1969-3",#N/A,#N/A,4.0316900430000002,8.1696422220000002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0.92333333299999998,0,#N/A
"1969-4",#N/A,#N/A,5.018229753,8.5196422219999999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0.34999999999999998,0,#N/A
"1970-1",#N/A,#N/A,1.1475799849999999,8.6029755560000005,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0.083333333999999995,0,#N/A
"1970-2",#N/A,#N/A,0.430188246,8.4363088889999993,#N/A,#N/A,0.52345870800000005,0.69524251199999998,0.75975364599999995,#N/A,#N/A,0,0,0,-0.16666666699999999,0,2.7809700479999999
"1970-3",#N/A,#N/A,4.3217076690000003,8.6863088889999993,#N/A,#N/A,0.97402957499999998,1.6979019289999999,1.596166237,#N/A,#N/A,0,0,0,0.25,0,6.7916077159999997
"1970-4",#N/A,#N/A,0.747873966,8.156308889,#N/A,#N/A,2.8964124600000001,2.2677347170000002,2.417829749,#N/A,#N/A,0,0,0,-0.53000000000000003,0,9.0709388680000007
"1971-1",#N/A,#N/A,-0.96525892700000004,7.4829755560000004,#N/A,#N/A,1.4864023019999999,1.398922947,1.3114013360000001,#N/A,#N/A,0,0,0,-0.67333333299999998,0,5.5956917879999999
"1971-2",#N/A,#N/A,0.82733709700000002,6.7829755560000002,#N/A,#N/A,0.98543327199999997,1.6540318890000001,1.6161456949999999,#N/A,#N/A,0,0,0,-0.69999999999999996,0,6.6161275560000004
"1971-3",#N/A,#N/A,2.8360431670000001,6.4229755559999999,#N/A,#N/A,1.8723346080000001,1.7595747319999999,1.757156433,#N/A,#N/A,0,0,0,-0.35999999999999999,0,7.0382989279999997
"1971-4",#N/A,#N/A,1.9941704709999999,5.712975556,#N/A,#N/A,1.2472717760000001,1.004462188,1.157626966,#N/A,#N/A,0,0,0,-0.70999999999999996,0,4.0178487519999999
"1972-1",#N/A,#N/A,1.338208507,5.3096422219999999,#N/A,#N/A,0.34145841799999999,0.98834445599999998,0.98979986200000003,#N/A,#N/A,0,0,0,-0.40333333399999999,0,3.9533778239999999
"1972-2",#N/A,#N/A,1.094003847,5.002975556,#N/A,#N/A,1.529118593,1.1936577020000001,1.3419068439999999,#N/A,#N/A,0,0,0,-0.30666666599999998,0,4.7746308080000004
"1972-3",#N/A,#N/A,3.7667730389999998,4.6509755559999997,#N/A,#N/A,1.65902035,1.7555118919999999,1.744672223,#N/A,#N/A,0,0,0,-0.35199999999999998,0,7.0220475679999996
"1972-4",#N/A,#N/A,3.6160799579999998,4.6729755559999999,#N/A,#N/A,1.3264231870000001,1.7475304780000001,1.9201007640000001,#N/A,#N/A,0,0,0,0.021999999999999999,0,6.9901219120000002
"1973-1",#N/A,#N/A,1.423316483,5.3753088890000003,#N/A,#N/A,2.7035245730000002,2.4409549080000001,2.5058717640000001,#N/A,#N/A,0,0,0,0.702333333,0,9.7638196320000006
"1973-2",#N/A,#N/A,0.133860172,6.3156422220000001,#N/A,#N/A,4.2116276020000001,3.8745139790000001,3.8145452230000001,#N/A,#N/A,0,0,0,0.94033333299999999,0,15.498055916
"1973-3",#N/A,#N/A,1.8944798860000001,8.0679755560000004,#N/A,#N/A,3.859167341,3.573070215,3.9239201069999998,#N/A,#N/A,0,0,0,1.752333334,0,14.29228086
"1973-4",#N/A,#N/A,2.3224448930000001,9.6293088890000007,#N/A,#N/A,4.2905608600000003,4.6316286020000001,4.2812441679999997,#N/A,#N/A,0,0,0,1.5613333330000001,0,18.526514408000001
"1974-1",#N/A,#N/A,-5.2312352029999998,12.262975559999999,#N/A,#N/A,9.055610239,8.2534211959999997,8.1258847870000004,#N/A,#N/A,0,0,0,2.6336666709999998,0,33.013684783999999
"1974-2",#N/A,#N/A,-0.058897608999999997,12.35964222,#N/A,#N/A,3.8836793809999999,4.1739802700000004,3.8961290000000002,#N/A,8,0,0,0,0.096666660000000001,0,16.695921080000002
"1974-3",#N/A,#N/A,2.8982929209999999,13.22330889,#N/A,#N/A,4.544146971,4.1013688909999999,3.8623946459999998,#N/A,-15,0,0,0,0.86366666999999997,0,16.405475564
"1974-4",#N/A,#N/A,0.52527345400000003,13.055642219999999,8.2316666670000007,#N/A,4.2701065229999999,4.9862233370000002,5.029432924,#N/A,-30,0,0,0,-0.16766666999999999,0,19.944893348000001
"1975-1",#N/A,#N/A,-1.730669477,13.050975559999999,8.2550000000000008,#N/A,1.792885735,1.7564605040000001,1.7647751389999999,#N/A,-47,0,0,0,-0.0046666600000000004,0,7.0258420160000004
"1975-2",#N/A,#N/A,1.429336422,11.45297556,8.2780000000000005,#N/A,2.0708955969999998,2.0657850990000002,2.2060920099999999,#N/A,-47,0,0,0,-1.5980000000000001,0,8.2631403960000007
"1975-3",#N/A,#N/A,2.7544652869999999,10.639308890000001,8.3243333330000002,#N/A,1.858326406,2.0165720020000002,2.0322502660000001,#N/A,-42,0,0,0,-0.81366667000000004,0,8.0662880080000008
"1975-4",#N/A,#N/A,2.1362413949999999,8.2873088890000002,8.3896666670000002,#N/A,2.461588296,1.7842936279999999,1.904407084,#N/A,-35,0,0,0,-2.352000001,0,7.1371745119999996
"1976-1",#N/A,#N/A,-1.027517255,7.280642222,8.4686666670000008,#N/A,2.3202400889999999,2.27713221,2.3199640069999998,#N/A,-32,0,0,0,-1.006666667,0,9.10852884
"1976-2",#N/A,#N/A,-0.18744306199999999,6.9876422219999998,8.4960000000000004,#N/A,2.3995486750000001,2.403525293,2.4826632119999998,#N/A,-13,0,0,0,-0.29299999999999998,0,9.6141011719999998
"1976-3",#N/A,#N/A,3.0266213789999998,7.3146422219999998,8.5006666670000008,#N/A,2.104293271,2.2638867079999998,1.9607332580000001,#N/A,-5,0,0,0,0.32700000000000001,0,9.0555468319999992
"1976-4",#N/A,#N/A,1.193675877,7.0703088889999997,8.4760000000000009,#N/A,2.351226654,2.2766927730000002,2.2476704650000001,#N/A,-5,0,0,0,-0.24433333300000001,0,9.1067710920000007
"1977-1",#N/A,#N/A,0.28750462100000002,7.0836422219999999,8.491333333,#N/A,2.3447152729999998,1.9413595079999999,1.964218298,#N/A,-14,0,0,0,0.013333332999999999,0,7.7654380319999996
"1977-2",#N/A,#N/A,-0.075330193000000004,5.695642222,7.8003333330000002,#N/A,1.8691708810000001,1.9112774530000001,2.0313622520000001,#N/A,-14,0,0,0,-1.3879999999999999,0,7.6451098120000003
"1977-3",#N/A,#N/A,2.2907626360000002,5.6489755559999999,7.1266666670000003,#N/A,1.11196458,1.460991656,1.7188910930000001,#N/A,-18,0,0,0,-0.046666666000000002,0,5.8439666240000001
"1977-4",#N/A,#N/A,2.4444618299999998,5.0359755560000004,6.8499999999999996,#N/A,0.90509586600000003,1.2272671079999999,1.1430532170000001,#N/A,-19,0,0,0,-0.61299999999999999,0,4.9090684319999998
"1978-1",#N/A,#N/A,-0.0050259570000000002,4.9236422219999998,6.6159999999999997,#N/A,0.78490989099999997,0.97927008400000004,0.99489841700000003,#N/A,-19,0,0,0,-0.11233333400000001,0,3.9170803360000002
"1978-2",#N/A,#N/A,0.19080812899999999,4.288642222,6.3626666670000001,#N/A,1.1490710829999999,0.88026933399999996,1.189168351,#N/A,-6,0,0,0,-0.63500000000000001,0,3.5210773359999998
"1978-3",#N/A,#N/A,2.912132959,4.5483088890000003,6.5123333329999999,#N/A,1.5064183529999999,0.91326796700000001,1.0801460009999999,#N/A,2,0,0,0,0.25966666700000002,0,3.6530718680000001
"1978-4",#N/A,#N/A,2.5319962650000001,4.4126422219999997,6.4646666670000004,#N/A,0.22234045799999999,0.57460217499999999,0.81347154099999996,#N/A,5,0,0,0,-0.13566666699999999,0,2.2984087
"1979-1",#N/A,#N/A,-0.39131276199999998,4.611308889,6.8006666669999998,#N/A,0.15214311,0.707843738,0.67680980800000001,#N/A,9,0,0,0,0.19866666699999999,0,2.831374952
"1979-2",#N/A,#N/A,1.039346551,5.3010422220000004,7.9246666670000003,#N/A,1.4322889160000001,1.0090348469999999,0.69978679099999996,#N/A,20,0,0,0,0.68973333299999995,0,4.0361393879999996
"1979-3",#N/A,#N/A,2.3730339580000002,6.6189422220000003,8.0380000000000003,#N/A,1.63368201,1.354609728,1.0579881170000001,#N/A,22,0,0,0,1.3179000000000001,0,5.4184389120000001
"1979-4",#N/A,#N/A,1.512758885,7.6427088889999997,8.5193333330000005,#N/A,1.612324657,1.435118237,0.98400861100000003,#N/A,20,0,0,0,1.0237666670000001,0,5.7404729479999999
"1980-1",#N/A,-0.5,-0.75973092399999997,9.3618755559999993,8.8473333329999999,#N/A,2.3833229810000001,1.964559545,1.6741438740000001,#N/A,16,0,0,0,1.7191666670000001,0,7.8582381799999999
"1980-2",#N/A,-2.1000000000000001,-0.67772680699999999,12.657975560000001,8.9786666670000006,#N/A,2.2800303309999999,3.1549628240000001,2.112641966,3.7999999999999998,19,0,0,0,3.2961000039999999,0,12.619851296
"1980-3",#N/A,-1,1.9628233530000001,12.250142220000001,8.4893333329999994,#N/A,1.6338248900000001,1.4425742210000001,1.5398996309999999,3.7999999999999998,7,0,0,0,-0.40783333999999999,0,5.7702968840000004
"1980-4",#N/A,0.10000000000000001,2.153299675,10.194475560000001,8.6590000000000007,#N/A,1.0838301109999999,1.1152178699999999,1.254775124,3.7999999999999998,-1,0,0,0,-2.05566666,0,4.4608714799999998
"1981-1",#N/A,-0.10000000000000001,0.74527583399999997,8.7016088889999992,8.3743333329999992,#N/A,1.344183769,1.0045558530000001,1.057973541,3.7999999999999998,-9,0,0,0,-1.492866671,0,4.0182234120000002
"1981-2",#N/A,-0.10000000000000001,1.0183595489999999,7.3063422219999996,8.1146666669999998,#N/A,0.85383001999999997,0.83110144500000005,0.91165263399999996,3.7999999999999998,-11,0,0,0,-1.395266667,0,3.3244057800000002
"1981-3",#N/A,-0.59999999999999998,0.229578587,7.4372088889999999,8.4573333329999993,#N/A,0.82303860699999998,1.0834746900000001,0.91289820200000005,3.7999999999999998,-11,0,0,0,0.13086666699999999,0,4.3338987600000003
"1981-4",#N/A,-1,0.62169551700000003,7.0365755559999998,8.3729999999999993,#N/A,0.99080059499999995,0.97643686900000004,0.94908389100000001,3.7999999999999998,-9,0,0,0,-0.40063333299999998,0,3.9057474760000002
"1982-1",#N/A,-0.59999999999999998,1.4014548120000001,6.7955422219999999,7.8890000000000002,#N/A,0.42569109300000002,0.59190082799999999,0.569826465,3.7999999999999998,-12,0,0,0,-0.24103333399999999,0,2.367603312
"1982-2",#N/A,-0.80000000000000004,0.72111973500000004,7.3585422219999996,7.9050000000000002,#N/A,0.370335519,0.48794779100000002,0.601711836,3.7999999999999998,-15,0,0,0,0.56299999999999994,0,1.9517911640000001
"1982-3",#N/A,-1.3999999999999999,0.26968266899999999,7.3046088889999998,8.2446666670000006,#N/A,0.96033775099999996,0.83489351099999998,0.71703445499999996,3.7999999999999998,-20,0,0,0,-0.053933333,0,3.3395740439999999
"1982-4",#N/A,-0.90000000000000002,1.5244599510000001,7.0275422220000001,8.1586666670000003,#N/A,0.66742697299999998,0.74473350500000002,0.74373398599999996,3.7999999999999998,-25,0,0,0,-0.27706666699999999,0,2.9789340200000001
"1983-1",-2.3258540110000001,-1.3,0.51621572199999999,6.8219755559999999,7.850333333,#N/A,0.092659863999999995,0.17201956800000001,0.23299556399999999,3.8999999999999999,-29,0,0,0,-0.20556666600000001,0,0.68807827200000005
"1983-2",-1.99256375,-1.3999999999999999,0.90215615599999999,6.3772422219999996,7.8010000000000002,#N/A,0.61918144799999997,0.22871886399999999,0.63023435000000005,3.8999999999999999,-19,0,0,0,-0.44473333399999998,0,0.91487545599999998
"1983-3",-1.7450489849999999,-1.1000000000000001,1.2277851529999999,6.6450755560000001,7.8609999999999998,#N/A,0.090456746000000005,0.36022853900000001,0.48791098799999999,4,-17,0,0,0,0.26783333399999998,0,1.4409141560000001
"1983-4",-1.0782036049999999,-1.3,0.80632408700000002,6.4699755559999996,7.5670000000000002,#N/A,0.85654355299999996,0.81275826600000001,0.83051083800000003,4,-12,0,0,0,-0.17510000000000001,0,3.251033064
"1984-1",-0.56090222999999995,-1.2,1.1660930490000001,6.368075556,7.3903333330000001,#N/A,0.79174414699999995,0.46413391799999998,0.53072907999999996,4.0999999999999996,-7,0,0,0,-0.1019,0,1.8565356719999999
"1984-2",-0.52791891199999996,-0.29999999999999999,1.9712698360000001,6.0306088889999998,7.411333333,#N/A,0.31161177099999998,0.52636203699999995,0.61892337900000005,4.0999999999999996,1,0,0,0,-0.337466667,0,2.1054481479999998
"1984-3",-0.40880699799999998,-0.59999999999999998,0.61420859999999999,6.3390755560000001,7.3513333330000004,#N/A,0.28847061400000001,0.464240918,0.45786953699999999,4.2000000000000002,3,0,0,0,0.30846666700000003,0,1.856963672
"1984-4",0.070926331999999995,-1.2,0.45923225000000001,6.4074088890000001,6.899,#N/A,0.92916016700000004,0.87616571300000001,0.91458952999999998,4.2999999999999998,4,0,0,0,0.068333332999999996,0,3.5046628520000001
"1985-1",0.011749994,-1,1.2609054399999999,6.4350422219999999,6.9260000000000002,#N/A,0.59729407999999995,0.45242607600000001,0.66763665800000005,4.2999999999999998,2,0,0,0,0.027633333,0,1.809704304
"1985-2",-0.249148228,-0.10000000000000001,2.028126506,6.254875556,6.7930000000000001,#N/A,0.28875308100000002,0.29759313900000001,0.39413979100000002,4.4000000000000004,2,0,0,0,-0.180166666,0,1.190372556
"1985-3",-0.54020834900000003,0.29999999999999999,1.365278065,6.3871666669999998,6.3873333329999999,#N/A,0.45209213700000001,0.38710183300000001,0.43757422099999999,4.4000000000000004,0,0,0,0,0.13229111099999999,0,1.548407332
"1985-4",-0.70300241399999996,0.80000000000000004,1.742068682,7.4403333329999999,6.3606666670000003,#N/A,0.23426710100000001,0.229576108,0.30797918699999999,4.5,-5,0,0,0,1.0531666660000001,0,0.918304432
"1986-1",-0.69400351000000005,-0.40000000000000002,-0.084906947999999996,6.2754333329999996,5.6719999999999997,#N/A,0.55912409399999996,0.51376702900000004,0.64960772300000003,4.5,-11,0,0,0,-1.1649,0,2.0550681160000002
"1986-2",-1.411059383,-1.1000000000000001,0.43360938599999999,4.6292999999999997,5.0359999999999996,#N/A,-0.37789599899999998,-0.026112931999999998,0.22826154200000001,4.5999999999999996,-14,0,0,0,-1.6461333330000001,0,-0.10445172799999999
"1986-3",-1.5113899019999999,-1.6000000000000001,0.54329082699999998,4.6884666670000001,5.3603333329999998,5.2576666669999996,-0.20440541600000001,-0.180204592,0.31440236399999999,4.5999999999999996,-16,0,0,0,0.059166666999999999,0,-0.72081836799999999
"1986-4",-1.5289514710000001,-1.5,1.318067326,4.2521000000000004,5.3713333329999999,5.5653333329999999,-0.19675608,0.010019258,0.28305703900000001,4.7000000000000002,-17,0,0,0,-0.43636666699999999,0,0.040077031999999999
"1987-1",-1.6611841030000001,-2.3999999999999999,0.20278072599999999,4.1997999999999998,4.8193333330000003,5.0256666670000003,-0.032428818999999998,0.10931753600000001,0.25402675000000002,4.7000000000000002,-17,0,0,0,-0.052299999999999999,0,0.43727014400000003
"1987-2",-1.697272085,-1.7,1.958370022,3.4391666669999998,3.9283333329999999,4.0250000000000004,0.55563996100000002,0.073361299000000005,-0.031186284000000002,4.7999999999999998,-13,0,0,0,-0.76063333300000002,0,0.29344519600000002
"1987-3",-0.78475752099999996,-1.1000000000000001,1.7037959709999999,3.3747666669999998,5.2960000000000003,5.4803333329999999,0.13302788800000001,0.30524283899999999,0.363455211,4.7999999999999998,-4,0,0,0,-0.064399999999999999,0,1.220971356
"1987-4",0.40946231900000002,0.40000000000000002,2.7529705180000001,3.6614333330000002,5.3366666670000003,5.4736666669999998,0.081127109000000003,0.081300564000000006,0.13616009800000001,4.7999999999999998,10,0,0,0,0.28666666600000001,0,0.32520225600000002
"1988-1",1.1697220909999999,0.90000000000000002,1.7044207840000001,3.6859999999999999,4.7903333330000004,4.5853333330000003,0.051793688999999997,0.083676354999999994,0.23471410700000001,4.7999999999999998,17,0,0,0,0.024566667,0,0.33470541999999998
"1988-2",1.2000308959999999,0.29999999999999999,0.63579788000000004,3.5175666670000001,4.6673333330000002,4.9960000000000004,-0.077112768999999998,-0.14302289000000001,-0.039403765,4.7000000000000002,29,0,0,0,-0.16843333299999999,0,-0.57209156000000005
"1988-3",1.401904086,1,1.6932113310000001,3.9765999999999999,5.274,5.4666666670000001,0.53927663599999998,0.28184291,0.22688440000000001,4.7000000000000002,31,0,0,0,0.45903333299999999,0,1.12737164
"1988-4",1.7194485580000001,1.1000000000000001,1.2388078140000001,4.1589666669999996,4.7406666670000002,4.7843333330000002,0.60399220799999997,0.36996722900000001,0.51659638299999999,4.5999999999999996,33,0,0,0,0.18236666700000001,0,1.479868916
"1989-1",2.4008179489999999,2,2.119916312,4.1757633329999999,4.8303333329999996,4.9989999999999997,-0.013793102,0.41762468400000002,0.37608651100000001,4.5,35,0,0,0,0.016796665999999998,0,1.6704987360000001
"1989-2",2.4714631969999998,-0.10000000000000001,-1.0186087859999999,4.7443633329999999,5.100333333,5.1150000000000002,1.5210485920000001,1.621046322,1.7104829079999999,4.4000000000000004,41,0,0,0,0.56859999999999999,0,6.4841852879999999
"1989-3",2.600967195,0.29999999999999999,1.4021176500000001,5.3454600000000001,5.0173333329999998,5.0536666669999999,0.62993845599999998,0.48673130599999997,0.47758809000000002,4.2999999999999998,39,0,0,0,0.60109666699999997,0,1.9469252239999999
"1989-4",3.188198366,2.2000000000000002,2.9415720140000001,6.2028033330000003,5.3843333329999998,5.4446666669999999,0.43883865599999999,0.42867434100000001,0.47664552399999999,4.2000000000000002,38,0,0,0,0.85734333299999999,0,1.7146973640000001
"1990-1",3.7672270019999998,0.5,-0.69376336500000002,6.6802133330000002,6.592333333,6.391666667,0.92747181999999995,0.64847528899999995,0.60176266,4,37,0,0,0,0.47741,0,2.5939011559999998
"1990-2",3.8603516149999999,2.2000000000000002,2.7005793229999999,7.262003333,6.8090000000000002,6.5540000000000003,0.52620957099999999,0.50486049700000002,0.470950125,3.7999999999999998,36,0,0,0,0.58179000000000003,0,2.0194419880000001
"1990-3",4.2376835460000004,3.2000000000000002,1.7904438629999999,7.6102633329999998,7.3773333330000002,7.3626666670000001,0.71634723,0.74949455499999995,0.75175586699999997,3.6000000000000001,37,0,0,0,0.34826000000000001,0,2.9979782199999998
"1990-4",4.7138676510000002,2.2000000000000002,-0.024864144000000001,8.0391100000000009,7.008666667,7.1426666670000003,1.382005779,1.109396195,0.86989245100000001,3.5,34,0,0,0,0.42884666700000001,0,4.4375847799999999
"1991-1",4.6215475230000003,2.5,1.0408821370000001,8.1508266670000005,6.476,6.4946666669999997,0.98739304100000003,0.74864059199999999,0.87342432599999997,3.2999999999999998,31,0,0,0,0.11171666700000001,0,2.994562368
"1991-2",4.4133484989999996,2.6000000000000001,0.93823403699999997,8.1023333330000007,6.6873333329999998,6.645333333,0.29883461500000003,0.35873872699999998,0.49627299000000002,3,29,0,0,0,-0.048493333999999999,0,1.4349549079999999
"1991-3",4.1293707130000001,1.8,-0.19420437800000001,7.3314399999999997,6.451333333,6.4299999999999997,0.44784640599999997,0.67302328600000005,0.72167710399999996,2.7999999999999998,24,0,0,0,-0.77089333299999996,0,2.6920931440000002
"1991-4",3.6420882630000002,1.8999999999999999,0.794894251,6.5167599999999997,5.931666667,5.9253333330000002,1.0237092569999999,0.54092953700000002,0.62966301199999997,2.7000000000000002,12,0,0,0,-0.81467999999999996,0,2.1637181480000001
"1992-1",3.2795043850000001,1.3999999999999999,0.16238612999999999,5.6207200000000004,5.5906666669999998,5.5490000000000004,0.098987177999999995,0.59379835299999995,0.63745344500000001,2.5,1,0,0,0,-0.89603999999999995,0,2.3751934119999998
"1992-2",2.1457208909999999,0.80000000000000004,0.051503970000000003,4.7547600000000001,5.6970000000000001,5.6696666670000004,0.75088826099999995,0.73526850099999996,0.76217797799999998,2.2999999999999998,-9,0,0,0,-0.86595999999999995,0,2.9410740039999999
"1992-3",1.3546683209999999,0.69999999999999996,0.242814698,4.2922866669999999,5.2039999999999997,5.2140000000000004,-0.090310016000000007,0.34082631000000002,0.36688712299999998,2.1000000000000001,-17,0,0,0,-0.46247333299999999,0,1.3633052400000001
"1992-4",0.52462136199999998,-0.5,-0.58127830700000005,3.9714900000000002,4.8736666670000002,4.963666667,0.269362514,0.38962959600000002,0.43095303200000001,2,-26,0,0,0,-0.32079666699999998,0,1.5585183840000001
"1993-1",-0.28936381900000002,-0.40000000000000002,0.55486003900000003,3.472613333,4.3760000000000003,4.5519999999999996,0.32512925399999998,0.23582829599999999,0.245279735,1.8999999999999999,-34,0,0,0,-0.498876667,0,0.94331318399999997
"1993-2",-0.738533679,-1.7,-0.81933334000000002,3.1998199999999999,4.657666667,4.7343333330000004,0.36220344900000001,0.29155181600000002,0.30202928899999998,1.8,-30,0,0,0,-0.27279333300000003,0,1.1662072640000001
